school,year,conference_name,lineage_conference_name
Princeton,1869,Independent,Independent
Rutgers,1869,Independent,Independent
Columbia,1870,Independent,Independent
Princeton,1870,Independent,Independent
Rutgers,1870,Independent,Independent
Columbia,1872,Independent,Independent
Princeton,1872,Independent,Independent
Rutgers,1872,Independent,Independent
Stevens,1872,Independent,Independent
Yale,1872,Independent,Independent
City College of New York,1873,Independent,Independent
Columbia,1873,Independent,Independent
Eton,1873,Independent,Independent
New York University,1873,Independent,Independent
Princeton,1873,Independent,Independent
Rutgers,1873,Independent,Independent
Stevens,1873,Independent,Independent
Yale,1873,Independent,Independent
Columbia,1874,Independent,Independent
New York University,1874,Independent,Independent
Princeton,1874,Independent,Independent
Rutgers,1874,Independent,Independent
Stevens,1874,Independent,Independent
Yale,1874,Independent,Independent
Canada All-Stars,1875,Independent,Independent
City College of New York,1875,Independent,Independent
Columbia,1875,Independent,Independent
Harvard,1875,Independent,Independent
New York University,1875,Independent,Independent
Princeton,1875,Independent,Independent
Rutgers,1875,Independent,Independent
Stevens,1875,Independent,Independent
Tufts,1875,Independent,Independent
Wesleyan (CT),1875,Independent,Independent
Yale,1875,Independent,Independent
Canada All-Stars,1876,Independent,Independent
Columbia,1876,Independent,Independent
Harvard,1876,Independent,Independent
McGill,1876,Independent,Independent
New York University,1876,Independent,Independent
Pennsylvania,1876,Independent,Independent
Philadelphia All-Stars,1876,Independent,Independent
Princeton,1876,Independent,Independent
Rutgers,1876,Independent,Independent
Stevens,1876,Independent,Independent
Yale,1876,Independent,Independent
Amherst,1877,Independent,Independent
Columbia,1877,Independent,Independent
Harvard,1877,Independent,Independent
McGill,1877,Independent,Independent
Princeton,1877,Independent,Independent
Rutgers,1877,Independent,Independent
Stevens,1877,Independent,Independent
Trinity (CT),1877,Independent,Independent
Tufts,1877,Independent,Independent
Yale,1877,Independent,Independent
Amherst,1878,Independent,Independent
Brown,1878,Independent,Independent
City College of New York,1878,Independent,Independent
Columbia,1878,Independent,Independent
Harvard,1878,Independent,Independent
Pennsylvania,1878,Independent,Independent
Princeton,1878,Independent,Independent
Rutgers,1878,Independent,Independent
Stevens,1878,Independent,Independent
Swarthmore,1878,Independent,Independent
Trinity (CT),1878,Independent,Independent
Yale,1878,Independent,Independent
Britannia,1879,Independent,Independent
Columbia,1879,Independent,Independent
Harvard,1879,Independent,Independent
McGill,1879,Independent,Independent
Pennsylvania,1879,Independent,Independent
Pennsylvania Military,1879,Independent,Independent
Princeton,1879,Independent,Independent
Rutgers,1879,Independent,Independent
Stevens,1879,Independent,Independent
Stevens Alumni,1879,Independent,Independent
Yale,1879,Independent,Independent
Britannia,1880,Independent,Independent
Brown,1880,Independent,Independent
City College of New York,1880,Independent,Independent
Columbia,1880,Independent,Independent
Crescent A.C.,1880,Independent,Independent
Harvard,1880,Independent,Independent
Montreal,1880,Independent,Independent
Ottawa,1880,Independent,Independent
Pennsylvania,1880,Independent,Independent
Princeton,1880,Independent,Independent
Rutgers,1880,Independent,Independent
Stevens,1880,Independent,Independent
Yale,1880,Independent,Independent
Amherst,1881,Independent,Independent
Britannia,1881,Independent,Independent
City College of New York,1881,Independent,Independent
Columbia,1881,Independent,Independent
Dartmouth,1881,Independent,Independent
Harvard,1881,Independent,Independent
Michigan,1881,Independent,Independent
Montreal,1881,Independent,Independent
Ottawa,1881,Independent,Independent
Pennsylvania,1881,Independent,Independent
Princeton,1881,Independent,Independent
Rutgers,1881,Independent,Independent
Stevens,1881,Independent,Independent
